科目名,曜日・時限,講義室情報,適正人数,担当教員,URL
日本語  講義の聴解B,水1,C2,25人まで（使用するメディアの上限数）,太田　亨,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-03207.22&je_cd=1&lct_idx=A000000000129633
日本語  中級聴解B,水1,C5,20名を上限とします。初回の授業で、履修希望者が上限の人数に達した場合、それ以降は、たとえ履修登録期間中であっても、このコースの履修登録はできません。,鶴町　佳子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-03209.22&je_cd=1&lct_idx=A000000000152220
日本語  中上級聴解B,火1,B8,25,小島　莊一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-03211.22&je_cd=1&lct_idx=A000000000129637
日本語  上級聴解ⅡB,水2,A2,15人まで,深川　美帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-03215.22&je_cd=1&lct_idx=A000000000129641
日本語  アカデミック・ライティングB,月1,B2,15,小島　莊一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-03407.22&je_cd=1&lct_idx=A000000000129647
日本語　初級会話B,"水1,金1",A2,-----,深川　美帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-03511.22&je_cd=1&lct_idx=A000000000129651
日本語　中級作文B,木2,D13,20名を上限とします。初回の授業で、履修希望者が上限の人数に達した場合、それ以降は、たとえ履修登録期間中であっても、このコースの履修登録はできません。,深川　美帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-03513.22&je_cd=1&lct_idx=A000000000129655
日本語　中上級作文B,月2,A3,25名を上限とします。初回の授業で履修希望者が上限の人数に達した場合、それ以降は、たとえ履修登録期間中であっても、このコースの履修登録はできません。,深川　美帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-03515.22&je_cd=1&lct_idx=A000000000129659
日本語  アカデミック基礎日本語B,月2,B2,15-20名,深川　美帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-03813.22&je_cd=1&lct_idx=A000000000129667
日本語  日本語で学ぶ論理B,火4,B2,20人まで（使用するメディアの上限数）,太田　亨,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-03852.22&je_cd=1&lct_idx=A000000000129671
日本語  日本事情入門ⅡB,月2,A2,20,斉木　麻利子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-03908.22&je_cd=1&lct_idx=A000000000129679
現代アートとデザイン,水3〜4,A2,20名,佐藤　智哉,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-06186.22&je_cd=1&lct_idx=A000000000129704
近代日本文学入門,木3,C15,12-15,SEN RAJ LAKHI,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-06219.22&je_cd=1&lct_idx=A000000000155841
スマート創成科学,金2,B1,-----,西山　宣昭,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=14-11008.001&je_cd=1&lct_idx=A000000000125661
先史学演習2,火2,C11,5名以下,小髙　敬寛,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=14-31832&je_cd=1&lct_idx=A000000000128672
アントレプレナー特論b-1,水3,C15,希望する学生数,松島　大輔,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=14-33691&je_cd=1&lct_idx=A000000000129128
アントレプレナー特論b-2,水4,C15,希望する学生数,松島　大輔,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=14-33692&je_cd=1&lct_idx=A000000000129129
アントレプレナー論演習b-2,水6,C15,希望する学生数,松島　大輔,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=14-33696&je_cd=1&lct_idx=A000000000129133
地球環境論演習Ⅱb,水2,E14,-----,塚脇　真二,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=14-36386&je_cd=1&lct_idx=A000000000127669
東アジア教育社会演習Ⅱb,火4,C11,1-10名,渡辺　達雄,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=14-36490&je_cd=1&lct_idx=A000000000127667
日本語教育学演習b,水3,B11,10名程度とする,深川　美帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=14-36638&je_cd=1&lct_idx=A000000000125555
日本武道学演習Ⅱ,月4,C3,5名 留学生・日本人学生 履修希望者が多い場合は抽選による。,BITTMANN HEIKO,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=14-36647&je_cd=1&lct_idx=A000000000125564
